,Unnamed: 0,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
19,19,4,3,70.0,7560,1,1,3,3,0,4,0,12,2,2,0,2,5,6,1958,1965,3,1,2,10,2,0.0,3,3,1,4,4,3,3,504,6,0,525,1029,1,4,1,4,1339,0,0,1339,0,0,1,0,3,1,3,6,2,0,3,1,1958.0,2,1,294,4,4,2,0,0,0,0,0,0,3,2,1,0,8,2009,0,0,139000
20,20,9,3,101.0,14215,1,1,0,3,0,0,0,16,2,2,0,5,8,5,2005,2006,1,1,11,13,1,380.0,2,3,2,0,4,0,6,0,6,0,1158,1158,1,0,1,4,1158,1218,0,2376,0,0,3,1,4,1,2,9,6,1,2,3,2005.0,1,3,853,4,4,2,240,154,0,0,0,0,3,4,1,0,9,2006,6,5,325300
21,21,7,4,57.0,7449,1,0,3,0,0,4,0,9,2,2,0,1,7,7,1930,1950,1,1,12,14,2,0.0,3,3,2,4,4,3,6,0,6,0,637,637,1,0,1,1,1108,0,0,1108,0,0,1,0,3,1,2,6,6,1,2,1,1930.0,2,1,280,4,4,0,0,0,205,0,0,0,3,0,1,0,6,2007,8,4,139400
22,22,4,3,75.0,9742,1,1,3,3,0,4,0,5,2,2,0,2,8,5,2002,2002,3,1,11,13,1,281.0,2,3,2,2,4,3,6,0,6,0,1777,1777,1,0,1,4,1795,0,0,1795,0,0,2,0,3,1,2,7,6,1,2,1,2002.0,1,2,534,4,4,2,171,159,0,0,0,0,3,4,1,0,11,2008,8,4,230000
23,23,0,4,44.0,4224,1,1,3,3,0,4,0,10,2,2,4,2,5,7,1976,1976,1,1,4,5,2,0.0,3,3,2,2,4,3,2,840,6,0,200,1040,1,4,1,4,1060,0,0,1060,1,0,1,0,3,1,3,6,6,1,5,1,1976.0,2,2,572,4,4,2,100,110,0,0,0,0,3,4,1,0,6,2007,8,4,129900
24,24,4,3,0.0,8246,1,1,0,3,0,4,0,19,2,2,0,2,5,8,1968,2001,1,1,8,10,2,0.0,3,2,1,4,4,2,5,188,0,668,204,1060,1,0,1,4,1060,0,0,1060,1,0,1,0,3,1,2,6,6,1,5,1,1968.0,2,1,270,4,4,2,406,90,0,0,0,0,3,2,1,0,8,2010,8,4,154000
25,25,4,3,110.0,14230,1,1,3,3,0,0,0,16,2,2,0,2,8,5,2007,2007,1,1,11,13,3,640.0,2,3,2,2,4,3,6,0,6,0,1566,1566,1,0,1,4,1600,0,0,1600,0,0,2,0,3,1,2,7,6,1,2,1,2007.0,1,3,890,4,4,2,0,56,0,0,0,0,3,4,1,0,5,2009,8,4,256300
26,26,4,3,60.0,7200,1,1,3,3,0,0,0,12,2,2,0,2,5,7,1951,2000,1,1,12,14,2,0.0,3,3,1,4,4,2,1,234,5,486,180,900,1,4,1,4,900,0,0,900,0,1,1,0,3,1,2,5,6,0,3,5,2005.0,2,2,576,4,4,2,222,32,0,0,0,0,3,4,1,0,8,2010,8,4,134800
27,27,4,3,98.0,11478,1,1,3,3,0,4,0,16,2,2,0,2,8,5,2007,2008,1,1,11,13,3,200.0,2,3,2,0,4,3,2,1218,6,0,486,1704,1,0,1,4,1704,0,0,1704,1,0,2,0,3,1,2,7,6,1,2,1,2008.0,1,3,772,4,4,2,0,50,0,0,0,0,3,4,1,0,8,2010,8,4,306000
28,28,4,3,47.0,16321,1,1,0,3,0,1,0,12,2,2,0,2,5,6,1957,1997,1,1,7,8,2,0.0,3,3,1,4,4,1,1,1277,6,0,207,1484,1,4,1,4,1600,0,0,1600,1,0,1,0,2,1,3,6,6,2,2,1,1957.0,1,1,319,4,4,2,288,258,0,0,0,0,3,4,1,0,2,2006,8,4,207500
29,29,5,4,60.0,6324,1,1,0,3,0,4,0,3,1,7,0,2,4,6,1927,1950,1,1,7,8,2,0.0,3,3,0,4,4,3,6,0,6,0,520,520,1,1,0,4,520,0,0,520,0,0,1,0,1,1,1,4,6,0,3,5,1920.0,2,1,240,1,4,2,49,0,87,0,0,0,3,4,1,0,8,2008,8,4,68500
30,30,10,0,50.0,8500,1,2,3,3,0,4,0,9,1,2,0,5,4,4,1920,1950,2,1,2,3,2,0.0,3,1,0,4,4,3,6,0,6,0,649,649,1,4,0,4,649,668,0,1317,0,0,1,0,3,1,3,6,6,0,3,5,1920.0,2,1,250,4,1,0,0,54,172,0,0,0,3,2,1,0,5,2008,8,4,40000
31,31,4,3,0.0,8544,1,1,0,3,0,1,0,19,2,2,0,2,5,6,1966,2006,1,1,5,6,2,0.0,3,3,1,4,4,3,6,0,6,0,1228,1228,1,2,1,4,1228,0,0,1228,0,0,1,1,3,1,2,6,6,0,3,1,1966.0,2,1,271,4,4,2,0,65,0,0,0,0,3,2,1,0,6,2008,8,4,149350
32,32,4,3,85.0,11049,1,1,3,3,0,0,0,5,2,2,0,2,8,5,2007,2007,1,1,11,13,2,0.0,2,3,2,0,4,0,6,0,6,0,1234,1234,1,0,1,4,1234,0,0,1234,0,0,2,0,3,1,2,7,6,0,3,1,2007.0,1,2,484,4,4,2,0,30,0,0,0,0,3,4,1,0,4,2008,8,4,179900
33,33,4,3,70.0,10552,1,1,0,3,0,4,0,12,2,2,0,2,5,5,1959,1959,3,1,2,3,2,0.0,3,3,1,4,4,3,5,1018,6,0,380,1398,1,2,1,4,1700,0,0,1700,0,1,1,1,4,1,2,6,6,1,2,1,1959.0,1,2,447,4,4,2,0,38,0,0,0,0,3,4,1,0,0,2010,8,4,165500
34,34,0,3,60.0,7313,1,1,3,3,0,4,0,16,2,2,4,2,9,5,2005,2005,3,1,7,8,1,246.0,0,3,2,0,4,3,2,1153,6,0,408,1561,1,0,1,4,1561,0,0,1561,1,0,2,0,2,1,0,6,6,1,2,1,2005.0,0,2,556,4,4,2,203,47,0,0,0,0,3,4,1,0,1,2007,8,4,277500
35,35,9,3,108.0,13418,1,1,3,3,0,4,0,16,2,2,0,5,8,5,2004,2005,1,1,11,13,3,132.0,2,3,2,0,4,0,6,0,6,0,1117,1117,1,0,1,4,1132,1320,0,2452,0,0,3,1,4,1,2,9,6,1,2,3,2004.0,0,3,691,4,4,2,113,32,0,0,0,0,3,4,1,0,11,2006,8,4,309000
36,36,4,3,112.0,10859,1,1,3,3,0,0,0,5,2,2,0,2,5,5,1994,1995,1,1,11,13,2,0.0,3,3,2,2,4,3,6,0,6,0,1097,1097,1,0,1,4,1097,0,0,1097,0,0,1,1,3,1,3,6,6,0,3,1,1995.0,2,2,672,4,4,2,392,64,0,0,0,0,3,4,1,0,6,2009,8,4,145000
37,37,4,3,74.0,8532,1,1,3,3,0,4,0,12,2,2,0,2,5,6,1954,1990,3,1,12,14,1,650.0,3,3,1,4,4,3,5,1213,6,0,84,1297,1,2,1,4,1297,0,0,1297,0,1,1,0,3,1,3,5,6,1,5,1,1954.0,0,2,498,4,4,2,0,0,0,0,0,0,3,4,1,0,10,2009,8,4,153000
38,38,4,3,68.0,7922,1,1,3,3,0,4,0,12,2,2,0,2,5,7,1953,2007,1,1,11,13,2,0.0,3,2,1,4,4,3,2,731,6,0,326,1057,1,4,1,4,1057,0,0,1057,1,0,1,0,3,1,2,5,6,0,3,5,1953.0,2,1,246,4,4,2,0,52,0,0,0,0,3,4,1,0,4,2010,8,0,109000
39,40,4,3,84.0,8658,1,1,3,3,0,4,0,12,2,2,0,2,6,5,1965,1965,1,1,12,14,1,101.0,3,3,1,4,4,3,5,643,6,0,445,1088,1,0,1,4,1324,0,0,1324,0,0,2,0,3,1,3,6,6,1,5,1,1965.0,1,2,440,4,4,2,0,138,0,0,0,0,3,1,1,0,2,2006,8,0,160000
40,41,4,3,115.0,16905,1,1,3,3,0,4,0,23,2,2,0,2,5,6,1959,1959,1,1,11,13,2,0.0,3,2,1,4,4,1,1,967,6,0,383,1350,1,2,1,4,1328,0,0,1328,0,1,1,1,2,1,3,5,6,2,2,1,1959.0,1,1,308,4,4,1,0,104,0,0,0,0,3,4,1,0,5,2007,8,4,170000
41,42,13,3,0.0,9180,1,1,0,3,0,1,0,20,2,2,0,6,5,7,1983,1983,1,1,5,6,2,0.0,3,3,1,2,4,0,0,747,3,93,0,840,1,2,1,4,884,0,0,884,1,0,1,0,2,1,2,5,6,0,3,1,1983.0,1,2,504,4,2,2,240,0,0,0,0,0,3,2,1,0,2,2007,8,4,144000
42,43,4,3,0.0,9200,1,1,0,3,0,1,0,5,2,2,0,2,5,6,1975,1980,3,1,11,13,2,0.0,3,3,1,2,4,0,3,280,1,491,167,938,1,4,1,4,938,0,0,938,1,0,1,0,3,1,3,5,6,0,3,5,1977.0,2,1,308,4,4,2,145,0,0,0,0,0,3,2,1,0,5,2008,8,4,130250
43,44,4,3,70.0,7945,1,1,3,3,0,4,0,12,2,2,0,2,5,6,1959,1959,1,1,2,14,2,0.0,3,3,1,4,4,3,0,179,1,506,465,1150,1,0,1,0,1150,0,0,1150,1,0,1,0,3,1,3,6,6,0,3,1,1959.0,1,1,300,4,4,2,0,0,0,0,0,0,3,4,1,0,8,2006,8,4,141000
44,45,0,3,61.0,7658,1,1,3,3,0,4,0,16,2,2,4,2,9,5,2005,2005,3,1,7,8,1,412.0,0,3,2,0,4,3,2,456,6,0,1296,1752,1,0,1,4,1752,0,0,1752,1,0,2,0,2,1,0,6,6,1,2,1,2005.0,1,2,576,4,4,2,196,82,0,0,0,0,3,4,1,0,3,2010,8,4,319900
45,46,8,3,48.0,12822,1,1,0,3,0,1,0,11,2,2,0,0,7,5,2003,2003,1,1,11,13,2,0.0,2,3,2,0,4,3,2,1351,6,0,83,1434,1,0,1,4,1518,631,0,2149,1,0,1,1,1,1,2,6,6,1,0,1,2003.0,1,2,670,4,4,2,168,43,0,0,198,0,3,4,1,0,1,2009,8,0,239686
46,47,4,1,84.0,11096,1,1,3,3,0,4,0,21,2,2,0,2,8,5,2006,2006,1,1,11,13,2,0.0,2,3,2,2,4,0,2,24,6,0,1632,1656,1,0,1,4,1656,0,0,1656,0,0,2,0,3,1,2,7,6,0,3,1,2006.0,1,3,826,4,4,2,0,146,0,0,0,0,3,4,1,0,5,2007,8,4,249700
47,49,4,3,66.0,7742,1,1,3,3,0,4,0,19,2,2,0,2,5,7,1966,1966,1,1,5,6,2,0.0,3,3,1,4,4,3,1,763,6,0,192,955,1,0,1,4,955,0,0,955,1,0,1,0,3,1,3,6,6,0,3,1,1966.0,2,1,386,4,4,2,0,0,0,0,0,0,3,2,1,0,4,2007,8,4,127000
48,50,9,3,0.0,13869,1,1,1,3,0,0,0,8,2,2,0,5,6,6,1997,1997,1,1,11,13,2,0.0,3,3,2,2,4,0,2,182,6,0,612,794,1,2,1,4,794,676,0,1470,0,1,2,0,3,1,3,6,6,0,3,1,1997.0,0,2,388,4,4,2,0,75,0,0,0,0,3,4,1,0,5,2007,8,4,177000
49,51,8,4,52.0,6240,1,1,3,3,0,4,0,3,2,2,0,0,6,6,1934,1950,1,1,12,14,2,0.0,3,3,2,4,4,3,6,0,6,0,816,816,1,4,1,4,816,0,360,1176,0,0,1,0,3,1,3,6,6,1,2,5,1985.0,2,2,528,4,4,2,112,0,0,0,0,0,3,2,3,400,11,2006,8,4,114500
50,52,14,4,110.0,8472,0,1,1,0,0,0,1,9,8,2,2,2,5,5,1963,1963,1,1,12,14,2,0.0,1,3,1,2,4,1,3,104,2,712,0,816,1,4,0,4,816,0,0,816,1,0,1,0,2,1,3,5,6,0,3,4,1963.0,2,2,516,4,4,2,106,0,0,0,0,0,3,4,1,0,8,2010,8,4,110000
51,53,4,3,68.0,50271,1,1,0,2,0,4,0,24,2,2,0,2,9,5,1981,1987,1,7,13,15,2,0.0,2,3,1,0,4,1,2,1810,6,0,32,1842,1,2,1,4,1842,0,0,1842,2,0,0,1,0,1,2,5,6,1,2,1,1981.0,0,3,894,4,4,2,857,72,0,0,0,0,3,4,1,0,9,2006,8,4,385000
52,54,12,3,60.0,7134,1,1,3,0,0,4,1,12,2,2,0,7,5,5,1955,1955,1,1,7,8,2,0.0,3,3,1,4,4,3,0,384,6,0,0,384,1,4,1,4,1360,0,0,1360,0,0,1,0,3,1,3,6,2,1,5,5,1962.0,2,2,572,4,4,2,0,50,0,0,0,0,3,2,1,0,3,2007,8,4,130000
53,55,4,3,100.0,10175,1,1,0,3,0,4,0,12,2,2,0,2,6,5,1964,1964,1,1,5,10,1,272.0,3,3,1,4,4,3,1,490,6,0,935,1425,1,2,1,4,1425,0,0,1425,0,0,2,0,3,1,3,7,6,1,2,1,1964.0,1,2,576,4,4,2,0,0,0,407,0,0,3,4,1,0,5,2008,8,4,180500
54,56,1,1,24.0,2645,1,2,3,3,0,4,0,21,2,2,3,5,8,5,1999,2000,1,1,7,8,1,456.0,2,3,2,2,4,3,2,649,6,0,321,970,1,0,1,4,983,756,0,1739,1,0,2,1,3,1,2,7,6,0,3,1,1999.0,0,2,480,4,4,2,115,0,0,0,0,0,3,4,1,0,1,2009,8,0,172500
55,57,9,3,89.0,11645,1,1,0,3,0,0,0,5,2,2,0,5,7,5,2004,2004,1,1,11,13,2,0.0,2,3,2,2,4,3,6,0,6,0,860,860,1,0,1,4,860,860,0,1720,0,0,2,1,3,1,2,7,6,0,3,1,2004.0,1,2,565,4,4,2,0,70,0,0,0,0,3,4,1,0,1,2006,8,4,196500
56,58,9,3,66.0,13682,1,1,1,1,0,1,0,22,2,2,0,5,10,5,2006,2006,3,1,11,13,1,1031.0,0,3,2,0,4,1,6,0,6,0,1410,1410,1,0,1,4,1426,1519,0,2945,0,0,3,1,3,1,2,10,6,1,2,3,2006.0,0,3,641,4,4,2,192,0,37,0,0,0,3,4,1,0,10,2006,6,5,438780
57,59,4,3,60.0,7200,1,1,3,0,0,4,0,5,2,2,0,2,5,7,1972,1972,1,1,5,6,2,0.0,3,3,1,4,4,0,0,632,6,0,148,780,1,0,1,4,780,0,0,780,0,0,1,0,2,1,3,4,6,0,3,5,1973.0,2,1,352,4,4,2,196,0,0,0,0,0,3,2,1,0,4,2008,8,4,124900
58,60,4,3,63.0,13072,1,1,3,3,0,4,0,20,5,2,0,2,6,5,2004,2004,1,1,11,13,2,0.0,3,3,2,2,4,3,0,941,6,0,217,1158,1,0,1,4,1158,0,0,1158,1,0,1,1,3,1,2,5,6,0,3,5,2006.0,2,2,576,4,4,2,0,50,0,0,0,0,3,4,1,0,8,2006,6,5,158000
59,61,11,4,60.0,7200,1,1,3,3,0,4,0,9,2,2,0,4,5,7,1920,1996,1,1,7,8,2,0.0,3,3,0,4,0,3,6,0,6,0,530,530,1,4,0,4,581,530,0,1111,0,0,1,0,3,1,1,6,6,0,3,5,1935.0,2,1,288,4,4,0,0,0,144,0,0,0,3,4,1,0,7,2007,8,4,101000
60,62,0,3,44.0,6442,1,1,0,3,0,4,0,16,2,2,4,2,8,5,2006,2006,1,1,11,13,3,178.0,2,3,2,2,1,2,2,24,6,0,1346,1370,1,0,1,4,1370,0,0,1370,0,0,2,0,2,1,2,6,6,1,2,1,2006.0,1,2,484,4,4,2,120,49,0,0,0,0,3,4,1,0,10,2007,8,4,202500
61,63,10,4,50.0,10300,1,1,0,0,0,4,0,17,6,1,0,5,7,6,1921,1950,1,1,10,12,2,0.0,3,3,0,4,4,3,6,0,6,0,576,576,1,2,1,4,902,808,0,1710,0,0,2,0,3,1,3,9,6,0,3,5,1990.0,2,2,480,4,4,2,12,11,64,0,0,0,3,0,1,0,0,2010,8,4,140000
62,64,9,3,0.0,9375,1,1,3,3,0,4,0,5,2,2,0,5,7,5,1997,1998,1,1,11,13,1,573.0,3,3,2,2,4,3,2,739,6,0,318,1057,1,0,1,4,1057,977,0,2034,1,0,2,1,3,1,2,8,6,0,3,1,1998.0,1,2,645,4,4,2,576,36,0,0,0,0,3,0,1,0,3,2009,8,4,219500
63,65,9,3,76.0,9591,1,1,3,3,0,4,0,16,2,2,0,5,8,5,2004,2005,1,1,11,13,1,344.0,2,3,2,0,4,0,6,0,6,0,1143,1143,1,0,1,4,1143,1330,0,2473,0,0,2,1,4,1,2,9,6,1,2,3,2004.0,1,3,852,4,4,2,192,151,0,0,0,0,3,4,1,0,10,2007,8,4,317000
64,66,4,3,0.0,19900,1,1,3,3,0,4,0,12,3,2,0,2,7,5,1970,1989,1,1,8,10,1,287.0,3,3,1,2,4,1,2,912,6,0,1035,1947,1,4,1,4,2207,0,0,2207,1,0,2,0,3,1,3,7,2,1,2,1,1970.0,1,2,576,4,4,2,301,0,0,0,0,0,3,4,1,0,5,2010,8,4,180000
65,67,4,3,72.0,10665,1,1,0,3,0,4,0,5,2,2,0,2,7,5,2003,2003,1,1,11,13,1,167.0,2,3,2,2,4,0,2,1013,6,0,440,1453,1,0,1,4,1479,0,0,1479,1,0,2,0,3,1,2,7,6,0,3,1,2003.0,1,2,558,4,4,2,144,29,0,0,0,0,3,4,1,0,6,2007,8,4,226000
66,68,5,4,47.0,4608,1,1,3,3,0,0,0,17,0,2,0,2,4,6,1945,1950,1,1,7,8,2,0.0,3,2,1,4,4,3,6,0,6,0,747,747,1,4,1,4,747,0,0,747,0,0,1,0,2,1,3,4,6,0,3,1,1945.0,2,1,220,4,4,2,0,0,0,0,0,0,3,4,1,0,6,2010,8,4,80000
67,69,8,3,81.0,15593,1,1,3,3,0,0,0,4,2,2,0,0,7,4,1953,1953,1,1,2,0,2,0.0,2,3,1,4,4,3,1,603,6,0,701,1304,2,4,1,4,1304,983,0,2287,0,0,2,0,3,1,3,7,6,1,5,1,1953.0,0,2,667,4,4,2,0,21,114,0,0,0,3,4,1,0,5,2006,8,4,225000
68,70,4,3,95.0,13651,1,1,0,3,0,4,0,12,2,2,0,2,7,6,1973,1973,1,1,8,10,1,1115.0,3,2,1,2,4,1,0,1880,6,0,343,2223,1,0,1,4,2223,0,0,2223,1,0,2,0,3,1,3,8,6,2,2,1,1973.0,0,2,516,4,4,2,300,0,0,0,0,0,3,4,1,0,3,2007,8,4,244000
69,71,4,3,69.0,7599,1,1,3,3,0,0,0,11,2,2,0,2,4,6,1982,2006,1,1,5,10,2,0.0,3,3,1,4,4,3,0,565,6,0,280,845,1,4,1,4,845,0,0,845,1,0,1,0,2,1,3,4,6,0,3,5,1987.0,2,2,360,4,4,2,0,0,0,0,0,0,3,4,1,0,6,2007,8,4,129500
70,72,9,3,74.0,10141,1,1,0,3,0,0,0,8,2,2,0,5,7,5,1998,1998,1,1,11,13,1,40.0,3,3,2,2,4,3,6,0,6,0,832,832,1,2,1,4,885,833,0,1718,0,0,2,1,3,1,3,7,6,1,5,1,1998.0,0,2,427,4,4,2,0,94,0,0,291,0,3,4,1,0,2,2009,8,4,185000
71,73,4,3,85.0,10200,1,1,3,3,0,4,0,12,2,2,0,2,5,7,1954,2003,1,1,12,14,1,104.0,3,3,1,4,4,3,0,320,1,362,404,1086,1,2,1,4,1086,0,0,1086,1,0,1,0,3,1,3,6,6,0,3,1,1989.0,2,2,490,4,4,2,0,0,0,0,0,0,3,1,1,0,8,2010,8,4,144900
